field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text,field/6/_name,field/6/__text
Country or Area,Afghanistan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1408,Value Footnotes,
Country or Area,Albania,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,41,Value Footnotes,
Country or Area,Algeria,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,712,Value Footnotes,
Country or Area,Angola,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,803,Value Footnotes,
Country or Area,Argentina,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,693,Value Footnotes,
Country or Area,Armenia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,47,Value Footnotes,
Country or Area,Australia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,307,Value Footnotes,
Country or Area,Austria,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,74,Value Footnotes,
Country or Area,Azerbaijan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,184,Value Footnotes,
Country or Area,Bahamas,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,5,Value Footnotes,
Country or Area,Bahrain,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,23,Value Footnotes,
Country or Area,Bangladesh,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,3016,Value Footnotes,
Country or Area,Barbados,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,3,Value Footnotes,
Country or Area,Belarus,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,107,Value Footnotes,
Country or Area,Belgium,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,123,Value Footnotes,
Country or Area,Belize,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,8,Value Footnotes,
Country or Area,Benin,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,356,Value Footnotes,
Country or Area,Bhutan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,15,Value Footnotes,
Country or Area,Bolivia (Plurinational State of),Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,264,Value Footnotes,
Country or Area,Bosnia and Herzegovina,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,32,Value Footnotes,
Country or Area,Botswana,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,47,Value Footnotes,
Country or Area,Brazil,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,2996,Value Footnotes,
Country or Area,Brunei Darussalam,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,8,Value Footnotes,
Country or Area,Bulgaria,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,75,Value Footnotes,
Country or Area,Burkina Faso,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,730,Value Footnotes,
Country or Area,Burundi,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,288,Value Footnotes,
Country or Area,Cambodia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,317,Value Footnotes,
Country or Area,Cameroon,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,716,Value Footnotes,
Country or Area,Canada,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,388,Value Footnotes,
Country or Area,Cape Verde,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,10,Value Footnotes,
Country or Area,CEE/CIS,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,5823,Value Footnotes,1
Country or Area,Central African Republic,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,156,Value Footnotes,
Country or Area,Chad,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,511,Value Footnotes,
Country or Area,Chile,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,245,Value Footnotes,
Country or Area,China,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,16364,Value Footnotes,
Country or Area,Colombia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,910,Value Footnotes,
Country or Area,Comoros,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,28,Value Footnotes,
Country or Area,Congo,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,145,Value Footnotes,
Country or Area,Costa Rica,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,73,Value Footnotes,
Country or Area,Côte d'Ivoire,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,679,Value Footnotes,
Country or Area,Croatia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,43,Value Footnotes,
Country or Area,Cuba,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,110,Value Footnotes,
Country or Area,Cyprus,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,13,Value Footnotes,
Country or Area,Czech Republic,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,116,Value Footnotes,
Country or Area,Democratic People's Republic of Korea,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,348,Value Footnotes,
Country or Area,Democratic Republic of the Congo,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,2912,Value Footnotes,
Country or Area,Denmark,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,64,Value Footnotes,
Country or Area,Djibouti,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,26,Value Footnotes,
Country or Area,Dominican Republic,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,216,Value Footnotes,
Country or Area,East Asia and Pacific,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,28448,Value Footnotes,1
Country or Area,Eastern and Southern Africa,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,14399,Value Footnotes,1
Country or Area,Ecuador,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,298,Value Footnotes,
Country or Area,Egypt,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1886,Value Footnotes,
Country or Area,El Salvador,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,126,Value Footnotes,
Country or Area,Equatorial Guinea,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,26,Value Footnotes,
Country or Area,Eritrea,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,193,Value Footnotes,
Country or Area,Estonia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,16,Value Footnotes,
Country or Area,Ethiopia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,2613,Value Footnotes,
Country or Area,Fiji,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,18,Value Footnotes,
Country or Area,Finland,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,61,Value Footnotes,
Country or Area,France,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,792,Value Footnotes,
Country or Area,Gabon,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,42,Value Footnotes,
