field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text,field/6/_name,field/6/__text
Country or Area,Albania,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,96,Value Footnotes,1
Country or Area,Algeria,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,73,Value Footnotes,1
Country or Area,Angola,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,70,Value Footnotes,1
Country or Area,Antigua and Barbuda,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,Argentina,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Armenia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Azerbaijan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Bahrain,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,92,Value Footnotes,1
Country or Area,Bangladesh,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,57,Value Footnotes,1
Country or Area,Belarus,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Benin,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,42,Value Footnotes,1
Country or Area,Bhutan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,53,Value Footnotes,2
Country or Area,Bolivia (Plurinational State of),Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,91,Value Footnotes,1
Country or Area,Bosnia and Herzegovina,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Botswana,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,84,Value Footnotes,1
Country or Area,Brazil,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,90,Value Footnotes,1
Country or Area,Brunei Darussalam,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,95,Value Footnotes,1
Country or Area,Bulgaria,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Burkina Faso,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,29,Value Footnotes,1
Country or Area,Burundi,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,67,Value Footnotes,1
Country or Area,Cambodia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,74,Value Footnotes,1
Country or Area,Cameroon,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,71,Value Footnotes,1
Country or Area,Cape Verde,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,84,Value Footnotes,1
Country or Area,CEE/CIS,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,3
Country or Area,Central African Republic,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,56,Value Footnotes,1
Country or Area,Chad,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,34,Value Footnotes,1
Country or Area,Chile,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,China,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,94,Value Footnotes,1
Country or Area,Colombia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,93,Value Footnotes,1
Country or Area,Comoros,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,75,Value Footnotes,1
Country or Area,Costa Rica,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,96,Value Footnotes,1
Country or Area,Côte d'Ivoire,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,56,Value Footnotes,1
Country or Area,Croatia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,Cuba,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Cyprus,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Democratic People's Republic of Korea,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Democratic Republic of the Congo,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,67,Value Footnotes,1
Country or Area,Dominican Republic,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,90,Value Footnotes,1
Country or Area,East Asia and Pacific,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,94,Value Footnotes,3
Country or Area,Eastern and Southern Africa,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,68,Value Footnotes,3
Country or Area,Ecuador,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,92,Value Footnotes,1
Country or Area,Egypt,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,72,Value Footnotes,1
Country or Area,El Salvador,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,84,Value Footnotes,1
Country or Area,Equatorial Guinea,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,94,Value Footnotes,1
Country or Area,Eritrea,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,68,Value Footnotes,1
Country or Area,Estonia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Ethiopia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,39,Value Footnotes,1
Country or Area,Gabon,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,88,Value Footnotes,1
Country or Area,Gambia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,50,Value Footnotes,1
Country or Area,Georgia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Ghana,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,67,Value Footnotes,1
Country or Area,Greece,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,97,Value Footnotes,1
Country or Area,Guatemala,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,75,Value Footnotes,1
Country or Area,Guinea,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,41,Value Footnotes,1
Country or Area,Guinea-Bissau,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,54,Value Footnotes,1
Country or Area,Haiti,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,49,Value Footnotes,2
Country or Area,Honduras,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,85,Value Footnotes,1
Country or Area,Hungary,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,India,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,63,Value Footnotes,1
Country or Area,Indonesia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,93,Value Footnotes,1
Country or Area,Iran (Islamic Republic of),Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,85,Value Footnotes,1
Country or Area,Iraq,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,78,Value Footnotes,1
Country or Area,Italy,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,Jamaica,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,87,Value Footnotes,1
Country or Area,Jordan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,93,Value Footnotes,1
Country or Area,Kazakhstan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Kenya,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,87,Value Footnotes,1
Country or Area,Kuwait,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,94,Value Footnotes,1
Country or Area,Kyrgyzstan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,Lao People's Democratic Republic,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,73,Value Footnotes,2
Country or Area,Latin America and Caribbean,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,91,Value Footnotes,3
Country or Area,Latvia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Least Developed Countries/Territories,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,60,Value Footnotes,3
